imagen,timestamp,planta_id,numero_plantas_total,area,ndvi_mean,ndvi_std
foto_2025-09-02_16-00-29,2025-09-02 16:00:29,2,3,654.5,-0.08459406346082687,0.11355596035718918
foto_2025-09-02_16-00-29,2025-09-02 16:00:29,3,3,855.0,-0.04291471466422081,0.0770096555352211
foto_2025-09-03_09-00-27,2025-09-03 09:00:27,1,3,669.5,-0.06848177313804626,0.12100012600421906
foto_2025-09-03_09-00-27,2025-09-03 09:00:27,2,3,562.0,-0.07578141987323761,0.10174031555652618
foto_2025-09-03_09-00-27,2025-09-03 09:00:27,3,3,896.5,-0.04540623724460602,0.07040226459503174
foto_2025-09-03_13-00-08,2025-09-03 13:00:08,1,3,790.0,-0.1696215569972992,0.1194278746843338
foto_2025-09-03_13-00-08,2025-09-03 13:00:08,2,3,644.5,-0.17209084331989288,0.09631635993719101
foto_2025-09-03_13-00-08,2025-09-03 13:00:08,3,3,948.5,-0.17781735956668854,0.08847534656524658
foto_2025-09-03_16-00-21,2025-09-03 16:00:21,1,3,682.5,-0.03291133791208267,0.09469443559646606
foto_2025-09-03_16-00-21,2025-09-03 16:00:21,2,3,553.0,-0.036376237869262695,0.08596087992191315
foto_2025-09-03_16-00-21,2025-09-03 16:00:21,3,3,833.5,0.015186578035354614,0.0654507502913475
foto_2025-09-04_09-00-18,2025-09-04 09:00:18,1,3,728.5,-0.15862064063549042,0.12767376005649567
foto_2025-09-04_09-00-18,2025-09-04 09:00:18,2,3,687.5,-0.1648896187543869,0.09836307913064957
foto_2025-09-04_09-00-18,2025-09-04 09:00:18,3,3,958.5,-0.1699872612953186,0.07691842317581177
foto_2025-09-04_13-00-28,2025-09-04 13:00:28,1,3,859.5,-0.18962572515010834,0.13010331988334656
foto_2025-09-04_13-00-28,2025-09-04 13:00:28,2,3,626.5,-0.17148256301879883,0.11171042919158936
foto_2025-09-04_13-00-28,2025-09-04 13:00:28,3,3,941.5,-0.1812058389186859,0.07921097427606583
foto_2025-09-04_16-00-13,2025-09-04 16:00:13,1,3,741.5,-0.10360878705978394,0.11509718745946884
foto_2025-09-04_16-00-13,2025-09-04 16:00:13,2,3,613.0,-0.12773504853248596,0.1084415465593338
foto_2025-09-04_16-00-13,2025-09-04 16:00:13,3,3,975.5,-0.10606902092695236,0.07455766946077347
foto_2025-09-05_09-00-10,2025-09-05 09:00:10,1,3,690.0,-0.04708905518054962,0.11456255614757538
foto_2025-09-05_09-00-10,2025-09-05 09:00:10,2,3,602.0,-0.05246739834547043,0.1074325367808342
