Source.Name,Fecha,Hora,Sensor 1 (%),Sensor 2 (%)
humedad_2025-08-15.csv,8/15/2025,9:00:06 AM,77.5,67.5
humedad_2025-08-15.csv,8/15/2025,9:05:06 AM,77.9,67.4
humedad_2025-08-15.csv,8/15/2025,9:10:06 AM,78.1,67.4
humedad_2025-08-15.csv,8/15/2025,9:15:06 AM,78.1,67.4
humedad_2025-08-15.csv,8/15/2025,9:20:06 AM,78.1,67.2
humedad_2025-08-15.csv,8/15/2025,9:25:06 AM,78.5,67.2
humedad_2025-08-15.csv,8/15/2025,9:30:06 AM,79,67.2
humedad_2025-08-15.csv,8/15/2025,9:35:06 AM,79.1,67.2
humedad_2025-08-15.csv,8/15/2025,9:40:06 AM,79.1,67.1
humedad_2025-08-15.csv,8/15/2025,9:45:06 AM,79.3,67.1
humedad_2025-08-15.csv,8/15/2025,9:50:06 AM,79.4,67.1
humedad_2025-08-15.csv,8/15/2025,9:55:06 AM,79.4,67.1
humedad_2025-08-15.csv,8/15/2025,10:00:06 AM,79.6,67.1
humedad_2025-08-15.csv,8/15/2025,10:05:06 AM,79.4,67.1
humedad_2025-08-15.csv,8/15/2025,10:10:06 AM,79.6,67.1
humedad_2025-08-15.csv,8/15/2025,10:15:06 AM,79.7,67.1
humedad_2025-08-15.csv,8/15/2025,10:20:06 AM,79.9,67.1
humedad_2025-08-15.csv,8/15/2025,10:25:06 AM,79.9,67.1
humedad_2025-08-15.csv,8/15/2025,10:30:06 AM,79.9,67.1
humedad_2025-08-15.csv,8/15/2025,10:35:06 AM,79.9,67.1
humedad_2025-08-15.csv,8/15/2025,10:40:06 AM,80,67.2
humedad_2025-08-15.csv,8/15/2025,10:45:06 AM,79.9,67.2
humedad_2025-08-15.csv,8/15/2025,10:50:06 AM,80.7,67.2
humedad_2025-08-15.csv,8/15/2025,10:55:06 AM,80.5,67.2
humedad_2025-08-15.csv,8/15/2025,11:00:06 AM,80.5,67.4
humedad_2025-08-15.csv,8/15/2025,11:05:06 AM,80.5,67.4
humedad_2025-08-15.csv,8/15/2025,11:10:06 AM,80.5,67.4
humedad_2025-08-15.csv,8/15/2025,11:15:06 AM,80.8,67.4
humedad_2025-08-15.csv,8/15/2025,11:20:06 AM,80.8,67.5
humedad_2025-08-15.csv,8/15/2025,11:25:06 AM,81,67.5
humedad_2025-08-15.csv,8/15/2025,11:30:06 AM,81,67.5
humedad_2025-08-15.csv,8/15/2025,11:35:06 AM,80.8,67.5
humedad_2025-08-15.csv,8/15/2025,11:40:06 AM,81,67.7
humedad_2025-08-15.csv,8/15/2025,11:45:06 AM,81,67.5
humedad_2025-08-15.csv,8/15/2025,11:50:06 AM,81,67.7
humedad_2025-08-15.csv,8/15/2025,11:55:06 AM,81,67.7
humedad_2025-08-15.csv,8/15/2025,12:00:06 PM,80.8,67.7
humedad_2025-08-15.csv,8/15/2025,12:05:06 PM,80.7,67.7
humedad_2025-08-15.csv,8/15/2025,12:10:06 PM,80.7,67.7
humedad_2025-08-15.csv,8/15/2025,12:15:06 PM,80.7,67.7
humedad_2025-08-15.csv,8/15/2025,12:20:06 PM,80.5,67.7
humedad_2025-08-15.csv,8/15/2025,12:25:06 PM,80.7,67.7
humedad_2025-08-15.csv,8/15/2025,12:30:06 PM,80.7,67.7
humedad_2025-08-15.csv,8/15/2025,12:35:06 PM,80.7,67.7
humedad_2025-08-15.csv,8/15/2025,12:40:06 PM,80.7,67.7
humedad_2025-08-15.csv,8/15/2025,12:45:06 PM,80.7,67.7
humedad_2025-08-15.csv,8/15/2025,12:50:06 PM,80.7,67.7
humedad_2025-08-15.csv,8/15/2025,12:55:06 PM,80.8,67.7
humedad_2025-08-15.csv,8/15/2025,1:00:06 PM,80.8,67.5
humedad_2025-08-15.csv,8/15/2025,1:05:06 PM,80.8,67.7
humedad_2025-08-15.csv,8/15/2025,1:10:06 PM,80.8,67.7
humedad_2025-08-15.csv,8/15/2025,1:15:06 PM,80.8,67.7
humedad_2025-08-15.csv,8/15/2025,1:20:06 PM,80.8,67.7
humedad_2025-08-15.csv,8/15/2025,1:25:06 PM,80.8,67.7
humedad_2025-08-15.csv,8/15/2025,1:30:06 PM,80.8,67.7
humedad_2025-08-15.csv,8/15/2025,1:35:06 PM,81,67.7
humedad_2025-08-15.csv,8/15/2025,1:40:06 PM,81,67.7
humedad_2025-08-15.csv,8/15/2025,1:45:06 PM,74.6,86.6
humedad_2025-08-15.csv,8/15/2025,1:50:06 PM,72.1,86.6
humedad_2025-08-15.csv,8/15/2025,1:55:06 PM,71.7,86.6
humedad_2025-08-15.csv,8/15/2025,2:00:06 PM,71.4,86.5
humedad_2025-08-15.csv,8/15/2025,2:05:06 PM,71,86.5
humedad_2025-08-15.csv,8/15/2025,2:10:06 PM,70.7,86.3
humedad_2025-08-15.csv,8/15/2025,2:15:06 PM,70.6,86.3
humedad_2025-08-15.csv,8/15/2025,2:20:06 PM,70.3,86.3
humedad_2025-08-15.csv,8/15/2025,2:25:06 PM,70,86.3
humedad_2025-08-15.csv,8/15/2025,2:30:06 PM,69.8,86.3
humedad_2025-08-15.csv,8/15/2025,2:35:06 PM,69.5,86.3
humedad_2025-08-15.csv,8/15/2025,2:40:06 PM,69.4,86.3
humedad_2025-08-15.csv,8/15/2025,2:45:06 PM,69.1,86.3
humedad_2025-08-15.csv,8/15/2025,2:50:06 PM,76.8,88.1
humedad_2025-08-15.csv,8/15/2025,2:55:06 PM,76.4,88
humedad_2025-08-15.csv,8/15/2025,3:00:06 PM,76.2,88
humedad_2025-08-15.csv,8/15/2025,3:05:06 PM,75.8,88
humedad_2025-08-15.csv,8/15/2025,3:10:06 PM,75.5,86.9
